date,mean_lst
2002-09-13,39.06292641860758
2002-09-15,32.59602150044217
2002-09-16,30.89603115685515
2002-09-18,25.84600000000003
2002-09-19,27.807134266847818
2002-09-20,29.62006231170859
2002-09-21,33.662115592711494
2002-09-22,35.100800036764404
2002-09-23,23.823756613756608
2002-09-24,38.61656385968429
2002-09-25,37.62436618959543
2002-09-26,39.54860195880666
2002-09-27,41.6521231060003
2002-09-28,32.009326683586885
2002-09-29,42.08595872335284
2002-10-01,39.564859387893975
2002-10-02,35.00496618154575
2002-10-03,33.92431838749031
2002-10-04,33.706845181420675
2002-10-05,32.633374450626036
2002-10-06,38.61260213547595
2002-10-08,40.14874760685487
2002-10-09,29.293934187738156
2002-10-10,34.607713870484666
2002-10-11,37.08305052796292
2002-10-12,30.9540842011116
2002-10-13,35.67956963066194
