system:index,month,year,.geo
139,8.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,9.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,10.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,11.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,12.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,1.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,3.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,4.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,5.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,6.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,7.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,8.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,9.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,10.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,11.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,12.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,1.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,3.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,4.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,5.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,6.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,7.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,8.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,9.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,10.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,11.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,12.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,1.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,3.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,4.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,5.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,6.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,7.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,8.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,9.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,10.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,11.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,12.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,1.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
